year,city,country,avg_temp
1743,Bratislava,Slovakia,5.33
1744,Bratislava,Slovakia,11.65
1745,Bratislava,Slovakia,2.15
1746,Bratislava,Slovakia,
1747,Bratislava,Slovakia,
1748,Bratislava,Slovakia,
1749,Bratislava,Slovakia,
1750,Bratislava,Slovakia,10.67
1751,Bratislava,Slovakia,10.98
1752,Bratislava,Slovakia,5.01
1753,Bratislava,Slovakia,9.78
1754,Bratislava,Slovakia,9.62
1755,Bratislava,Slovakia,9.41
1756,Bratislava,Slovakia,10.29
1757,Bratislava,Slovakia,9.94
1758,Bratislava,Slovakia,8.91
1759,Bratislava,Slovakia,9.91
1760,Bratislava,Slovakia,9.78
1761,Bratislava,Slovakia,10.25
1762,Bratislava,Slovakia,9.80
1763,Bratislava,Slovakia,9.39
1764,Bratislava,Slovakia,10.10
1765,Bratislava,Slovakia,9.85
1766,Bratislava,Slovakia,9.74
1767,Bratislava,Slovakia,9.19
1768,Bratislava,Slovakia,8.63
1769,Bratislava,Slovakia,9.56
1770,Bratislava,Slovakia,9.56
1771,Bratislava,Slovakia,9.05
1772,Bratislava,Slovakia,10.90
1773,Bratislava,Slovakia,10.18
1774,Bratislava,Slovakia,9.92
1775,Bratislava,Slovakia,10.62
1776,Bratislava,Slovakia,9.30
1777,Bratislava,Slovakia,9.52
1778,Bratislava,Slovakia,10.81
1779,Bratislava,Slovakia,10.90
1780,Bratislava,Slovakia,9.56
1781,Bratislava,Slovakia,10.66
1782,Bratislava,Slovakia,9.42
1783,Bratislava,Slovakia,10.42
1784,Bratislava,Slovakia,9.13
1785,Bratislava,Slovakia,8.58
1786,Bratislava,Slovakia,8.87
1787,Bratislava,Slovakia,10.05
1788,Bratislava,Slovakia,9.62
1789,Bratislava,Slovakia,10.05
1790,Bratislava,Slovakia,10.21
1791,Bratislava,Slovakia,10.73
1792,Bratislava,Slovakia,9.87
1793,Bratislava,Slovakia,9.88
1794,Bratislava,Slovakia,10.97
1795,Bratislava,Slovakia,9.78
1796,Bratislava,Slovakia,10.07
1797,Bratislava,Slovakia,11.33
1798,Bratislava,Slovakia,10.34
1799,Bratislava,Slovakia,8.56
1800,Bratislava,Slovakia,10.12
1801,Bratislava,Slovakia,10.79
1802,Bratislava,Slovakia,10.73
1803,Bratislava,Slovakia,9.19
1804,Bratislava,Slovakia,9.49
1805,Bratislava,Slovakia,8.25
1806,Bratislava,Slovakia,10.69
